seg    chars     sec   ch/s  status
H01      826    62.1  13.30  ok
I01    1,436    95.5  15.03  ok
T01      764    50.4  15.15  ok
T02      507    35.5  14.27  ok
T03      969    70.4  13.76  ok
T04    1,100    48.9  22.48  TRUNCATED
T05      448    34.1  13.14  ok
T06      874    65.7  13.31  ok
T07      723    50.1  14.43  ok
T08    1,127    62.4  18.05  TRUNCATED
E01      736    55.0  13.38  ok
E02      546    36.2  15.09  ok
E03      450    29.3  15.38  ok
E04      811    50.0  16.24  TRUNCATED
SH01   1,236    92.4  13.38  ok
G01      856    46.5  18.43  TRUNCATED
G02      499    35.8  13.94  ok
G03      759    44.9  16.89  TRUNCATED
M01      722    53.8  13.42  ok
G04      717    53.1  13.51  ok
G05      780    58.3  13.38  ok
X01    1,339    50.9  26.29  TRUNCATED
X02    1,040    78.7  13.22  ok
X03      488    35.8  13.65  ok
X04      969    71.1  13.63  ok
X05    1,135    52.9  21.45  TRUNCATED
X06      772    53.9  14.32  ok
X07    1,141    65.4  17.44  TRUNCATED
X08      779    60.3  12.92  ok
X09    1,333    65.4  20.37  TRUNCATED
X10      704    52.7  13.36  ok
X11      542    41.8  12.97  ok
X12      611    42.5  14.37  ok
MO1      717    48.6  14.75  ok
MO2      761    57.4  13.25  ok
MO3      792    34.4  23.00  TRUNCATED
MO4    1,196    87.4  13.69  ok
MO5      745    32.4  22.96  TRUNCATED
MO6      737    54.6  13.50  ok
MO7      486    35.7  13.63  ok
MO8      723    52.7  13.71  ok
